int,int,string,int,float,float,enum,int,int,int,int,string
index,id,skillName,tier,upStat1,upStat2,skillType,goldCost,manaCost,reqID1,reqID2,skillDescription
0,10000,파괴의 편린 I,1,2,0,OFN,0,1,0,0,공격력이 2 증가합니다.
1,10001,파괴의 편린 II,2,3,0,OFN,500,1,10000,0,공격력이 3 증가합니다.
2,10002,파괴의 편린 III,3,4,0,OFN,800,1,10001,0,공격력이 4 증가합니다.
3,10003,파괴의 편린 IV,4,5,0,OFN,1200,1,10002,0,공격력이 5 증가합니다.
4,10004,파괴의 편린 V,5,7,0,OFN,1700,1,10003,0,공격력이 7 증가합니다.
5,10005,파괴의 편린 VI,6,10,0,OFN,2500,1,10004,0,공격력이 10 증가합니다.
6,10006,파괴 본능,1,0.1,0.5,OFN,500,3,0,0,"치명타 공격이 가능해지며, 10% 확률로 총 피해의 150%의 데미지를 입힙니다."
7,10007,파괴 충동 I,2,0,0.1,OFN,700,3,10006,0,치명타 공격의 데미지 배율이 10% 증가합니다. 
8,10008,약점 포착 I,3,0.05,0,OFN,1000,3,10006,0,치명타 공격 확률이 5% 증가합니다. 
9,10009,파괴 충동 II,4,0,0.15,OFN,1400,3,10007,0,치명타 공격의 데미지 배율이 15% 증가합니다. 
10,10010,약점 포착 II,5,0.05,0,OFN,2000,3,10008,0,치명타 공격 확률이 5% 증가합니다. 
11,10011,파괴자의 일격,6,0.1,0.25,OFN,3000,5,10009,10010,"치명타 공격 확률이 10%, 데미지 배율이 25% 증가합니다. "
12,10012,끊임없는 고통 I,2,0.1,0,OFN,700,3,0,0,공격 시 10% 확률로 적에게 출혈 효과를 부여합니다. 
13,10013,끊임없는 고통 II,3,0,1,OFN,1200,3,10012,0,출혈의 데미지가 100% 증가합니다.
14,10014,끊임없는 고통 III,5,0.1,0,OFN,2500,3,10018,0,출혈의 부여 확률이 10% 증가합니다.
15,10015,마나 운용법 I,2,1,0,OFN,700,3,0,0,검기의 최대 저장량이 1 증가합니다.
16,10016,마나 버스트,3,0,0.5,OFN,1200,3,10015,0,검기의 데미지 배율이 50% 증가합니다. 
17,10017,마나 운용법 II,5,1,0,OFN,2500,3,10018,0,검기의 최대 저장량이 1 증가합니다.
18,10018,혈기 흡수,4,0.03,0,OFN,2000,5,10013,10016,검기가 적에게 적중 시 최대 체력의 3%를 회복합니다.
19,20000,수호의 편린 I,1,10,0,DEF,300,1,0,0,최대 체력이 10 증가합니다.
20,20001,수호의 편린 II,2,15,0,DEF,500,1,20000,0,최대 체력이 15 증가합니다.
21,20002,수호의 편린 III,3,20,0,DEF,800,1,20001,0,최대 체력이 20 증가합니다.
22,20003,수호의 편린 IV,4,25,0,DEF,1200,1,20002,0,최대 체력이 25 증가합니다.
23,20004,수호의 편린 V,5,35,0,DEF,1700,1,20003,0,최대 체력이 35 증가합니다.
24,20005,수호의 편린 VI,6,45,0,DEF,2500,1,20004,0,최대 체력이 45 증가합니다.
25,20006,정밀한 방어 I,2,0.1,0,DEF,700,3,20000,0,저스트 가드의 판정 시간이 10% 증가합니다.
26,20007,생명의 기운 I,3,0,0.05,DEF,1000,5,20006,0,저스트 가드 성공 시 최대 체력의 5%를 회복합니다.
27,20008,정밀한 방어 II,4,0.1,0,DEF,1400,3,20007,0,저스트 가드의 판정 시간이 10% 증가합니다.
28,20009,생명의 기운 II,5,0,0.05,DEF,2000,5,20008,0,저스트 가드 성공 시 회복되는 체력의 배율이 5% 증가합니다.
29,20010,철벽의 요새 I,1,5,0,DEF,500,3,0,0,방어력이 5 증가합니다.
